id,age,race,gender,grade90,income96,partner,height,weight,famsize,genhealth,illegalact,charged,jobsnum90,afqt89,typejob90,jobtrain90,income96gt17
119,14,"GERMAN","Male","11TH GRADE",1.33,"No",507,175,4,"Good",0,1,4,22,"construction","No","0"
120,17,"POLISH","Female","12TH GRADE",2.5,"Yes",505,120,2,"Excellent",0,0,7,94,"manuf","Yes","1"
121,16,"IRISH","Female","12TH GRADE",0.35,"No",504,120,7,"Very Good",0,0,4,42,"retail","No","0"
122,17,"GERMAN","Female","12TH GRADE",0.73,"No",504,120,5,"Good",1,0,9,51,"pro","No","0"
123,21,"GERMAN","Female","2ND YR COL",1.223,"No",506,200,2,"Very Good",0,0,13,81,"retail","No","0"
124,20,"ENGLISH","Male","12TH GRADE",1.65,"No",604,255,2,"Very Good",0,1,8,69,"retail","No","0"
125,18,"ENGLISH","Male","2ND YR COL",4,"No",507,195,4,"Excellent",0,0,3,88,"manuf","No","1"
126,16,"GERMAN","Female","4TH YR COL",0,"No",509,140,4,"Very Good",0,0,9,95,"pro","No","0"
127,20,"GERMAN","Male","12TH GRADE",2.2,"No",507,160,3,"Fair",0,1,12,54,"construction","No","1"
128,19,"GERMAN","Male","4TH YR COL",13.8775,"No",510,135,2,"Very Good",0,0,6,87,"pro","No","1"
129,19,"GERMAN","Male","3RD YR COL",5,"No",511,176,3,"Very Good",0,0,7,70,"personal","No","1"
130,18,"IRISH","Male","1ST YR COL",3.7,"No",604,205,5,"Fair",0,0,14,84,"transp","No","1"
131,19,"POLISH","Male","12TH GRADE",1.8,"No",510,135,5,"Very Good",0,0,9,33,"personal","Yes","1"
132,18,"GREEK","Female","1ST YR COL",0.6,"No",503,120,5,"Very Good",0,0,5,44,"retail","Yes","0"
133,16,"IRISH","Male","12TH GRADE",4.25,"No",600,210,4,"Good",0,0,3,51,"retail","No","1"
134,17,"ENGLISH","Male","6TH YR COL",6.5,"No",602,195,6,"Excellent",2,0,6,81,"transp","Yes","1"
135,15,"ENGLISH","Female","4TH YR COL",0.5,"No",504,130,6,"Good",1,0,10,79,"transp","Yes","0"
136,20,"PUERTORICAN","Male","12TH GRADE",4,"No",509,182,9,"Excellent",0,0,7,22,"pub","No","1"
137,19,"PUERTORICAN","Male","12TH GRADE",3.6,"No",505,140,9,"Very Good",0,0,6,44,"busi","No","1"
138,17,"PUERTORICAN","Female","10TH GRADE",2.5,"No",500,137,9,"Very Good",0,0,3,13,"retail","Yes","1"
139,14,"PUERTORICAN","Female","3RD YR COL",2.4,"No",502,125,7,"Very Good",0,0,5,51,"pro","No","1"
140,20,"ENGLISH","Female","12TH GRADE",2.1,"No",509,160,6,"Excellent",0,0,9,31,"manuf","No","1"
141,20,"BLACK","Male","12TH GRADE",0.1,"No",602,225,4,"Very Good",1,1,7,48,"retail","No","0"
142,22,"ENGLISH","Female","6TH YR COL",0.02,"No",505,115,4,"Excellent",0,0,8,89,"pro","No","0"
143,19,"ENGLISH","Female","1ST YR COL",0.15,"No",503,131,4,"Good",0,0,9,94,"busi","No","0"
144,21,"FRENCH","Female","12TH GRADE",1.59,"No",502,175,3,"Excellent",0,0,6,69,"busi","No","0"
145,17,"PUERTORICAN","Male","12TH GRADE",3,"No",507,132,7,"Very Good",0,0,3,22,"busi","No","1"
